"implementation","problem_size","runtime","kernel_count","kernel_registers","kernel_runtime","kernel_occupancy","transfer_size","transfer_count","transfer_runtime","api_count","api_runtime","runtime_err","kernel_runtime_err","transfer_runtime_err","api_runtime_err"
"python",512,1477.3596377952874,7,17,73.66437007874016,0.1361017142857143,4.000031,5,324.56982677165354,17,256.0617716535433,151.9760211016389,0.2360520939350437,0.8464869334395748,22.147950999207968
"julia_tfstyle",512,698.8266929129916,7,26,81.71266929133859,0.22842185714285712,4.0,4,324.22415748031494,20,235.16646456692908,25.255537493648795,0.3023942634850675,1.4183300958230438,22.341485238173934
"julia",512,481.41248818926925,1,35,17.421456692913395,0.509496,4.0,4,323.4611968503937,8,130.4013779527559,34.628769063118575,0.25283757117035766,0.2518103670272177,47.21897187621196
"python",1024,2430.98300000011,7,17,221.5704330708661,0.1658344285714286,16.000031,5,1281.4708976377956,17,259.1177401574803,93.51682570216394,0.5730669519424184,4.025595436258205,26.30288366930202
"julia_tfstyle",1024,1682.7818976376705,7,26,233.5175590551181,0.2655124285714286,16.0,4,1278.1187165354324,20,231.5386456692913,20.83342597743423,0.35441283211539315,2.042088255394363,22.475036102351982
"julia",1024,1456.3842125982633,1,35,52.64921259842521,0.639254,16.0,4,1277.4145590551177,8,126.30429921259844,5.19823792644427,0.8426247129203766,0.39073698484541974,5.876187048352155
"python",2048,6881.822425196908,7,17,817.7427165354331,0.16505414285714284,64.000031,5,5104.908133858266,17,271.3861811023622,84.4507127523726,1.0603592750341657,18.272425739418775,95.53857935662859
"julia_tfstyle",2048,6083.9594881892435,7,26,826.5980472440945,0.2781792857142857,64.0,4,5091.6124173228345,20,223.46481102362205,35.52581687905451,0.8153809266183898,5.709477572410307,66.25674286209792
"julia",2048,5416.79496850396,1,35,191.19776377952758,0.679421,64.0,4,5092.758629921259,8,127.0611181102362,10.987222264407668,1.5928815231936226,2.687341929801503,12.069844463572354
